common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common
Linnet,http://app.bto.org/birdfacts/results/bob16600.htm,Linaria cannabina,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Territories,LI,LINNE,223606.79774997893
Common Redpoll,http://app.bto.org/birdfacts/results/bob16631.htm,Acanthis flammea,"Scarce Breeder, Passage/Winter Visitor",100-500 Birds,FR,COMRE,223.606797749979
Lesser Redpoll,http://app.bto.org/birdfacts/results/bob16634.htm,Acanthis cabaret,Migrant/Resident Breeder,100000 - 500000 Pairs,LR,LESRE,223606.79774997893
Arctic Redpoll,http://app.bto.org/birdfacts/results/bob16640.htm,Acanthis hornemanni,Scarce Visitor,10 - 100 Birds,AL,ARCRE,31.622776601683803
Parrot Crossbill,http://app.bto.org/birdfacts/results/bob16680.htm,Loxia pytyopsittacus,"Scarce Visitor, Occasional Breeder",100-500 Records,PC,PARCR,223.606797749979
Scottish Crossbill,http://app.bto.org/birdfacts/results/bob16670.htm,Loxia scotica,Endemic Breeder,1000 - 10000 Pairs,CY,SCOCR,3162.2776601683804
Common Crossbill,http://app.bto.org/birdfacts/results/bob16660.htm,Loxia curvirostra,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,CR,CROSS,31622.77660168378
Two-barred Crossbill,http://app.bto.org/birdfacts/results/bob16650.htm,Loxia leucoptera,Scarce Visitor,100-500 Records,PD,TWBCR,223.606797749979
Goldfinch,http://app.bto.org/birdfacts/results/bob16530.htm,Carduelis carduelis,Migrant/Resident Breeder,1.2E06 Pairs,GO,GOLDF,1200000.0
Citril Finch,http://app.bto.org/birdfacts/results/bob16440.htm,Carduelis citrinella,Accidental,1-10 Records,,CITFI,3.1622776601683795
Serin,http://app.bto.org/birdfacts/results/bob16400.htm,Serinus serinus,"Scarce Visitor, Has bred",10 - 100 Birds,NS,SERIN,31.622776601683803
Siskin,http://app.bto.org/birdfacts/results/bob16540.htm,Spinus spinus,"Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,SK,SISKI,223606.79774997893
Lapland Bunting,http://app.bto.org/birdfacts/results/bob18470.htm,Calcarius lapponicus,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,LA,LAPBU,707.1067811865473
Snow Bunting,http://app.bto.org/birdfacts/results/bob18500.htm,Plectrophenax nivalis,"Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,SB,SNOBU,31.622776601683803
Corn Bunting,http://app.bto.org/birdfacts/results/bob18820.htm,Emberiza calandra,"Resident Breeder, Passage Visitor",10000 - 100000 Territories,CB,CORBU,31622.77660168378
Yellowhammer,http://app.bto.org/birdfacts/results/bob18570.htm,Emberiza citrinella,"Resident Breeder, Passage/Winter Visitor",500000 - 1E06 Territories,Y.,YELHA,707106.7811865465
Pine Bunting,http://app.bto.org/birdfacts/results/bob18560.htm,Emberiza leucocephalos,Accidental,10 - 100 Records,EL,PINBU,31.622776601683803
Rock Bunting,http://app.bto.org/birdfacts/results/bob18600.htm,Emberiza cia,Accidental,1-10 Records,,ROCBU,3.1622776601683795
Ortolan Bunting,http://app.bto.org/birdfacts/results/bob18660.htm,Emberiza hortulana,Scarce Visitor,10 - 100 Birds,OB,ORTBU,31.622776601683803
Cretzschmar’s Bunting,http://app.bto.org/birdfacts/results/bob18680.htm,Emberiza caesia,Accidental,1-10 Records,,CREBU,3.1622776601683795
Cirl Bunting,http://app.bto.org/birdfacts/results/bob18580.htm,Emberiza cirlus,Resident Breeder,1000 - 10000 Territories,CL,CIRBU,3162.2776601683804
Chestnut-eared Bunting,http://app.bto.org/birdfacts/results/bob18690.htm,Emberiza fucata,Accidental,1-10 Records,,CHABU,3.1622776601683795
Little Bunting,http://app.bto.org/birdfacts/results/bob18740.htm,Emberiza pusilla,Scarce Visitor,10 - 100 Birds,LJ,LITBU,31.622776601683803
Yellow-browed Bunting,http://app.bto.org/birdfacts/results/bob18710.htm,Emberiza chrysophrys,Accidental,1-10 Records,,YEBBU,3.1622776601683795
Rustic Bunting,http://app.bto.org/birdfacts/results/bob18730.htm,Emberiza rustica,Accidental,500 - 1000 Records,,RUSBU,707.1067811865473
Yellow-breasted Bunting,http://app.bto.org/birdfacts/results/bob18760.htm,Emberiza aureola,Accidental,100-500 Records,YO,YBSBU,223.606797749979
Chestnut Bunting,http://app.bto.org/birdfacts/results/bob18750.htm,Emberiza rutila,Accidental,1-10 Records,,,3.1622776601683795
Black-headed Bunting,http://app.bto.org/birdfacts/results/bob18810.htm,Emberiza melanocephala,Accidental,100-500 Records,,BLHBU,223.606797749979
Black-faced Bunting,http://app.bto.org/birdfacts/results/bob18530.htm,Emberiza spodocephala,Accidental,1-10 Records,,,3.1622776601683795
Pallas’s Reed Bunting,http://app.bto.org/birdfacts/results/bob18780.htm,Emberiza pallasi,Accidental,1-10 Records,,PARBU,3.1622776601683795
Reed Bunting,http://app.bto.org/birdfacts/results/bob18770.htm,Emberiza schoeniclus,"Resident Breeder, Passage/Winter Visitor",100000 - 500000 Territories,RB,REEBU,223606.79774997893
Song Sparrow,http://app.bto.org/birdfacts/results/bob18350.htm,Melospiza melodia,Accidental,1-10 Records,,SONSP,3.1622776601683795
White-crowned Sparrow,http://app.bto.org/birdfacts/results/bob18390.htm,Zonotrichia leucophrys,Accidental,1-10 Records,,WHCSP,3.1622776601683795
White-throated Sparrow,http://app.bto.org/birdfacts/results/bob18400.htm,Zonotrichia albicollis,Accidental,10 - 100 Records,,WHTSP,31.622776601683803
Dark-eyed Junco,http://app.bto.org/birdfacts/results/bob18420.htm,Junco hyemalis,Accidental,10 - 100 Records,JU,DAEJU,31.622776601683803
Savannah Sparrow,http://app.bto.org/birdfacts/results/bob18260.htm,Passerculus sandwichensis,Accidental,1-10 Records,,SAVSP,3.1622776601683795
Lark Sparrow,http://app.bto.org/birdfacts/results/bob18240.htm,Chondestes grammacus,Accidental,1-10 Records,,LARSP,3.1622776601683795
Eastern Towhee,http://app.bto.org/birdfacts/results/bob17980.htm,Pipilo erythrophthalmus,Accidental,1-10 Records,,RUSTO,3.1622776601683795
Bobolink,http://app.bto.org/birdfacts/results/bob18970.htm,Dolichonyx oryzivorus,Accidental,10 - 100 Records,,BOBOL,31.622776601683803
Baltimore Oriole,http://app.bto.org/birdfacts/results/bob19180.htm,Icterus galbula,Accidental,10 - 100 Records,,NOROR,31.622776601683803
Red-winged Blackbird,http://app.bto.org/birdfacts/results/bob19090.htm,Agelaius phoeniceus,Accidental,1-10 Records,,,3.1622776601683795
Brown-headed Cowbird,http://app.bto.org/birdfacts/results/bob18990.htm,Molothrus ater,Accidental,1-10 Records,,,3.1622776601683795
Ovenbird,http://app.bto.org/birdfacts/results/bob17560.htm,Seiurus aurocapilla,Accidental,1-10 Records,,OVENB,3.1622776601683795
Northern Waterthrush,http://app.bto.org/birdfacts/results/bob17570.htm,Parkesia noveboracensis,Accidental,1-10 Records,,NORWA,3.1622776601683795
Golden-winged Warbler,http://app.bto.org/birdfacts/results/bob17220.htm,Vermivora chrysoptera,Accidental,1-10 Records,,,3.1622776601683795
Black-and-white Warbler,http://app.bto.org/birdfacts/results/bob17200.htm,Mniotilta varia,Accidental,10 - 100 Records,,BAWWA,31.622776601683803
Tennessee Warbler,http://app.bto.org/birdfacts/results/bob17240.htm,Leiothlypis peregrina,Accidental,1-10 Records,,TENWA,3.1622776601683795
Common Yellowthroat,http://app.bto.org/birdfacts/results/bob17620.htm,Geothlypis trichas,Accidental,10 - 100 Records,,COMYE,31.622776601683803
Hooded Warbler,http://app.bto.org/birdfacts/results/bob17710.htm,Setophaga citrina,Accidental,1-10 Records,,HOOWA,3.1622776601683795
American Redstart,http://app.bto.org/birdfacts/results/bob17550.htm,Setophaga ruticilla,Accidental,1-10 Records,AD,AMERE,3.1622776601683795
Cape May Warbler,http://app.bto.org/birdfacts/results/bob17490.htm,Setophaga tigrina,Accidental,1-10 Records,,CAMWA,3.1622776601683795
Northern Parula,http://app.bto.org/birdfacts/results/bob17320.htm,Setophaga americana,Accidental,10 - 100 Records,,NORPA,31.622776601683803
Magnolia Warbler,http://app.bto.org/birdfacts/results/bob17500.htm,Setophaga magnolia,Accidental,1-10 Records,,MAGWA,3.1622776601683795
Bay-breasted Warbler,http://app.bto.org/birdfacts/results/bob17540.htm,Setophaga castanea,Accidental,1-10 Records,,,3.1622776601683795
Blackburnian Warbler,http://app.bto.org/birdfacts/results/bob17470.htm,Setophaga fusca,Accidental,1-10 Records,,,3.1622776601683795
Yellow Warbler,http://app.bto.org/birdfacts/results/bob17330.htm,Setophaga aestiva,Accidental,1-10 Records,,YLWWA,3.1622776601683795
Chestnut-sided Warbler,http://app.bto.org/birdfacts/results/bob17340.htm,Setophaga pensylvanica,Accidental,1-10 Records,,,3.1622776601683795
Blackpoll Warbler,http://app.bto.org/birdfacts/results/bob17530.htm,Setophaga striata,Accidental,10 - 100 Records,,BLAWA,31.622776601683803
Yellow-rumped Warbler,http://app.bto.org/birdfacts/results/bob17510.htm,Setophaga coronata,Accidental,10 - 100 Records,,YERWA,31.622776601683803
Wilson’s Warbler,http://app.bto.org/birdfacts/results/bob17720.htm,Cardellina pusilla,Accidental,1-10 Records,,,3.1622776601683795
Summer Tanager,http://app.bto.org/birdfacts/results/bob17860.htm,Piranga rubra,Accidental,1-10 Records,,SUMTA,3.1622776601683795
Scarlet Tanager,http://app.bto.org/birdfacts/results/bob17880.htm,Piranga olivacea,Accidental,1-10 Records,,SCATA,3.1622776601683795
Rose-breasted Grosbeak,http://app.bto.org/birdfacts/results/bob18870.htm,Pheucticus ludovicianus,Accidental,10 - 100 Records,,ROBGR,31.622776601683803
Indigo Bunting,http://app.bto.org/birdfacts/results/bob18920.htm,Passerina cyanea,Accidental,1-10 Records,,INDBU,3.1622776601683795
