common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common
Blyth’s Reed Warbler,http://app.bto.org/birdfacts/results/bob12480.htm,Acrocephalus dumetorum,Scarce Visitor,10 - 100 Birds,DU,BLRWA,31.622776601683803
Reed Warbler,http://app.bto.org/birdfacts/results/bob12510.htm,Acrocephalus scirpaceus,"Migrant Breeder, Passage Visitor",100000 - 500000 Pairs,RW,REEWA,223606.79774997893
Marsh Warbler,http://app.bto.org/birdfacts/results/bob12500.htm,Acrocephalus palustris,"Scarce Visitor, Scarce Breeder",10 - 100 Birds,MW,MARWA,31.622776601683803
Thick-billed Warbler,http://app.bto.org/birdfacts/results/bob12540.htm,Arundinax aedon,Accidental,1-10 Records,,THBWA,3.1622776601683795
Booted Warbler,http://app.bto.org/birdfacts/results/bob12560.htm,Iduna caligata,Accidental,100-500 Records,DM,BOOWA,223.606797749979
Sykes’s Warbler,http://app.bto.org/birdfacts/results/bob12562.htm,Iduna rama,Accidental,10 - 100 Records,,SYKWA,31.622776601683803
Eastern Olivaceous Warbler,http://app.bto.org/birdfacts/results/bob12550.htm,Iduna pallida,Accidental,10 - 100 Records,,EAOWA,31.622776601683803
Olive-tree Warbler,http://app.bto.org/birdfacts/results/bob12580.htm,Hippolais olivetorum,Accidental,1-10 Records,,,3.1622776601683795
Melodious Warbler,http://app.bto.org/birdfacts/results/bob12600.htm,Hippolais polyglotta,Scarce Visitor,10 - 100 Birds,ME,MELWA,31.622776601683803
Icterine Warbler,http://app.bto.org/birdfacts/results/bob12590.htm,Hippolais icterina,"Scarce Visitor, Scarce Breeder",10 - 100 Birds,IC,ICTWA,31.622776601683803
Pallas’s Grasshopper Warbler,http://app.bto.org/birdfacts/results/bob12330.htm,Helopsaltes certhiola,Accidental,10 - 100 Records,,PAGWA,31.622776601683803
Lanceolated Warbler,http://app.bto.org/birdfacts/results/bob12350.htm,Locustella lanceolata,Accidental,100-500 Records,,LANWA,223.606797749979
Grasshopper Warbler,http://app.bto.org/birdfacts/results/bob12360.htm,Locustella naevia,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,GH,GRAWA,31622.77660168378
River Warbler,http://app.bto.org/birdfacts/results/bob12370.htm,Locustella fluviatilis,Accidental,10 - 100 Records,VW,RIVWA,31.622776601683803
Savi’s Warbler,http://app.bto.org/birdfacts/results/bob12380.htm,Locustella luscinioides,"Scarce Visitor, Scarce Breeder",500 - 1000 Records,VI,SAVWA,707.1067811865473
Zitting Cisticola,http://app.bto.org/birdfacts/results/bob12260.htm,Cisticola juncidis,Accidental,1-10 Records,FZ,FATWA,3.1622776601683795
Blackcap,http://app.bto.org/birdfacts/results/bob12770.htm,Sylvia atricapilla,"Migrant Breeder, Passage/Winter Visitor",1.1E06 Territories,BC,BLACA,1100000.0
Garden Warbler,http://app.bto.org/birdfacts/results/bob12760.htm,Sylvia borin,"Migrant Breeder, Passage Visitor",100000 - 500000 Territories,GW,GARWA,223606.79774997893
Barred Warbler,http://app.bto.org/birdfacts/results/bob12730.htm,Sylvia nisoria,Scarce Visitor,100-500 Birds,RR,BARWA,223.606797749979
Lesser Whitethroat,http://app.bto.org/birdfacts/results/bob12740.htm,Sylvia curruca,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,LW,LESWH,31622.77660168378
Western Orphean Warbler,http://app.bto.org/birdfacts/results/bob12720.htm,Sylvia hortensis,Accidental,1-10 Records,,ORPWA,3.1622776601683795
Eastern Orphean Warbler,http://app.bto.org/birdfacts/results/bob12722.htm,Sylvia crassirostris,Accidental,1-10 Records,,,3.1622776601683795
Asian Desert Warbler,http://app.bto.org/birdfacts/results/bob12700.htm,Sylvia nana,Accidental,10 - 100 Records,DA,DESWA,31.622776601683803
Whitethroat,http://app.bto.org/birdfacts/results/bob12750.htm,Sylvia communis,"Migrant Breeder, Passage Visitor",1.1E06 Territories,WH,WHITE,1100000.0
Dartford Warbler,http://app.bto.org/birdfacts/results/bob12620.htm,Sylvia undata,Resident Breeder,1000 - 10000 Pairs,DW,DARWA,3162.2776601683804
Marmora’s Warbler,http://app.bto.org/birdfacts/results/bob12610.htm,Sylvia sarda,Accidental,1-10 Records,,MAMWA,3.1622776601683795
Spectacled Warbler,http://app.bto.org/birdfacts/results/bob12640.htm,Sylvia conspicillata,Accidental,1-10 Records,VY,SPEWA,3.1622776601683795
Subalpine Warbler,http://app.bto.org/birdfacts/results/bob12650.htm,Sylvia cantillans,Scarce Visitor,10 - 100 Birds,VZ,SUBWA,31.622776601683803
Moltoni's Subalpine Warbler,http://app.bto.org/birdfacts/results/bob12652.htm,Sylvia subalpina,Accidental,1-10 Records,,,3.1622776601683795
Sardinian Warbler,http://app.bto.org/birdfacts/results/bob12670.htm,Sylvia melanocephala,Accidental,10 - 100 Records,VX,SARWA,31.622776601683803
Rüppell’s Warbler,http://app.bto.org/birdfacts/results/bob12690.htm,Sylvia ruppeli,Accidental,1-10 Records,,RUPWA,3.1622776601683795
Firecrest,http://app.bto.org/birdfacts/results/bob13150.htm,Regulus ignicapilla,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Territories,FC,FIREC,707.1067811865473
