date,from,to,id_from,name_from,city_from,country_from,iata_from,icao_from,lat_from,lng_from,id_to,name_to,city_to,country_to,iata_to,icao_to,lat_to,lng_to,distance
2013-06-01,Chicago O'Hare International Airport,Reno Tahoe International Airport,3830,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,3807,Reno Tahoe International Airport,Reno,United States,RNO,KRNO,39.4990997314,-119.7679977417,1667.1837215898
2013-03-02,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2013-02-23,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2012-09-22,John F Kennedy International Airport,London Heathrow Airport,3797,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,3442.1741725546
2012-09-22,San Francisco International Airport,John F Kennedy International Airport,3469,San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.6189994812,-122.375,3797,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015,2579.7995813586
2012-09-01,Hartsfield Jackson Atlanta International Airport,Jackson Hole Airport,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,4027,Jackson Hole Airport,Jacksn Hole,United States,JAC,KJAC,43.6072998047,-110.7379989624,1569.3458561115
2012-09-01,London Heathrow Airport,Hartsfield Jackson Atlanta International Airport,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,4200.9425875431
2012-04-01,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2012-03-25,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2012-03-12,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2012-03-03,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2011-11-12,Sir Grantley Adams International Airport,London Gatwick Airport,2875,Sir Grantley Adams International Airport,Bridgetown,Barbados,BGI,TBPB,13.0746002197,-59.4925003052,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,4199.6989049162
2011-11-02,London Gatwick Airport,Sir Grantley Adams International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,2875,Sir Grantley Adams International Airport,Bridgetown,Barbados,BGI,TBPB,13.0746002197,-59.4925003052,4199.6989049162
