common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common,scientific_name_lower_bl,wiki_status,scientific_name_lower_wiki,inaturalist_id,inaturalist_scientific_name,inaturalist_common_name
Least Tern,http://app.bto.org/birdfacts/results/bob6242.htm,Sternula antillarum,Accidental,1-10 Records,,,3.1622776601683795,sternula antillarum,,,144530,Sternula antillarum,Least Tern
Aleutian Tern,http://app.bto.org/birdfacts/results/bob6170.htm,Onychoprion aleuticus,Accidental,1-10 Records,,ALETE,3.1622776601683795,onychoprion aleuticus,A rare vagrant,onychoprion aleutica,144528,Onychoprion aleuticus,Aleutian Tern
Bridled Tern,http://app.bto.org/birdfacts/results/bob6220.htm,Onychoprion anaethetus,Accidental,10 - 100 Records,,BRITE,31.622776601683803,onychoprion anaethetus,A rare vagrant,onychoprion anaethetus,144527,Onychoprion anaethetus,Bridled Tern
Sooty Tern,http://app.bto.org/birdfacts/results/bob6230.htm,Onychoprion fuscatus,Accidental,10 - 100 Records,,SOOTE,31.622776601683803,onychoprion fuscatus,A rare vagrant,onychoprion fuscata,144525,Onychoprion fuscatus,Sooty Tern
Roseate Tern,http://app.bto.org/birdfacts/results/bob6140.htm,Sterna dougallii,"Migrant Breeder, Passage Visitor",10 - 100 Pairs,RS,ROSTE,31.622776601683803,sterna dougallii,A scarce breeding summer visitor,sterna dougallii,4436,Sterna dougallii,Roseate Tern
Common Tern,http://app.bto.org/birdfacts/results/bob6150.htm,Sterna hirundo,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,CN,COMTE,31622.776601683774,sterna hirundo,A breeding summer visitor,sterna hirundo,4450,Sterna hirundo,Common Tern
Arctic Tern,http://app.bto.org/birdfacts/results/bob6160.htm,Sterna paradisaea,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,AE,ARCTE,31622.776601683774,sterna paradisaea,A breeding summer visitor,sterna paradisaea,4449,Sterna paradisaea,Arctic Tern
Forster’s Tern,http://app.bto.org/birdfacts/results/bob6180.htm,Sterna forsteri,Accidental,10 - 100 Records,FO,FORTE,31.622776601683803,sterna forsteri,,,4457,Sterna forsteri,Forster's Tern
Whiskered Tern,http://app.bto.org/birdfacts/results/bob6260.htm,Chlidonias hybrida,Accidental,100-500 Records,WD,WHKTE,223.606797749979,chlidonias hybrida,A rare vagrant,chlidonias hybridus,62148,Chlidonias hybrida,Whiskered Tern
White-winged Black Tern,http://app.bto.org/birdfacts/results/bob6280.htm,Chlidonias leucopterus,Scarce Visitor,10 - 100 Birds,WJ,WWBTE,31.622776601683803,chlidonias leucopterus,,,4514,Chlidonias leucopterus,White-winged Tern
Black Tern,http://app.bto.org/birdfacts/results/bob6270.htm,Chlidonias niger,"Former Breeder, Passage Visitor", ,BJ,BLATE,,chlidonias niger,"A passage migrant, occasional breeder",chlidonias niger,4512,Chlidonias niger,Black Tern
Great Skua,http://app.bto.org/birdfacts/results/bob5690.htm,Stercorarius skua,"Migrant Breeder, Passage Visitor",1000 - 10000 Pairs,NX,GRESK,3162.277660168381,stercorarius skua,A passage migrant and localised summer breeder,stercorarius skua,144297,Stercorarius skua,Great Skua
Pomarine Skua,http://app.bto.org/birdfacts/results/bob5660.htm,Stercorarius pomarinus,Passage Visitor, ,PK,POMSK,,stercorarius pomarinus,A passage migrant,stercorarius pomarinus,4491,Stercorarius pomarinus,Pomarine Jaeger
Arctic Skua,http://app.bto.org/birdfacts/results/bob5670.htm,Stercorarius parasiticus,"Migrant Breeder, Passage Visitor",1000 - 10000 Pairs,AC,ARCSK,3162.277660168381,stercorarius parasiticus,A passage migrant and localised summer breeder,stercorarius parasiticus,4489,Stercorarius parasiticus,Parasitic Jaeger
Long-tailed Skua,http://app.bto.org/birdfacts/results/bob5680.htm,Stercorarius longicaudus,"Passage Visitor, Has Bred", ,OG,LOTSK,,stercorarius longicaudus,A passage migrant,stercorarius longicaudus,4481,Stercorarius longicaudus,Long-tailed Jaeger
Little Auk,http://app.bto.org/birdfacts/results/bob6470.htm,Alle alle,Passage/Winter Visitor, ,LK,LITAU,,alle alle,A rare winter visitor,alle alle,4524,Alle alle,Dovekie
Brünnich’s Guillemot,http://app.bto.org/birdfacts/results/bob6350.htm,Uria lomvia,Accidental,10 - 100 Records,TZ,BRUGU,31.622776601683803,uria lomvia,,,4516,Uria lomvia,Thick-billed Murre
Guillemot,http://app.bto.org/birdfacts/results/bob6340.htm,Uria aalge,"Migrant/Resident Breeder, Winter Visitor",500000 - 1E06 Pairs,GU,GUILL,707106.7811865465,uria aalge,,,4519,Uria aalge,Common Murre
Razorbill,http://app.bto.org/birdfacts/results/bob6360.htm,Alca torda,"Migrant/Resident Breeder, Winter Visitor",100000 - 500000 Pairs,RA,RAZOR,223606.7977499789,alca torda,A breeding summer visitor and resident species,alca torda,4501,Alca torda,Razorbill
Great Auk,http://app.bto.org/birdfacts/results/bob6370.htm,Pinguinus impennis,"Extinct (1844) Former Breeder, Last recorded 1840", ,,,,pinguinus impennis,B (extinct),pinguinus impennis,4540,Pinguinus impennis,Great Auk
Black Guillemot,http://app.bto.org/birdfacts/results/bob6380.htm,Cepphus grylle,Resident Breeder,10000 - 100000 Pairs,TY,BLAGU,31622.776601683774,cepphus grylle,A resident localised breeding species,cepphus grylle,4418,Cepphus grylle,Black Guillemot
Long-billed Murrelet,http://app.bto.org/birdfacts/results/bob6412.htm,Brachyramphus perdix,Accidental,1-10 Records,,,3.1622776601683795,brachyramphus perdix,A rare vagrant,brachyramphus perdix,4530,Brachyramphus perdix,Long-billed Murrelet
Ancient Murrelet,http://app.bto.org/birdfacts/results/bob6450.htm,Synthliboramphus antiquus,Accidental,1-10 Records,,,3.1622776601683795,synthliboramphus antiquus,A rare vagrant,synthliboramphus antiquus,4561,Synthliboramphus antiquus,Ancient Murrelet
Puffin,http://app.bto.org/birdfacts/results/bob6540.htm,Fratercula arctica,"Migrant/Resident Breeder, Passage/Winter Visitor",500000 - 1E06 Pairs,PU,PUFFI,707106.7811865465,fratercula arctica,,,4504,Fratercula arctica,Atlantic Puffin
