common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common,scientific_name_lower_bl,wiki_status,scientific_name_lower_wiki,inaturalist_id,inaturalist_scientific_name,inaturalist_common_name
Goshawk,http://app.bto.org/birdfacts/results/bob2670.htm,Accipiter gentilis,Re-introduced Breeder,100-500 Pairs,GI,GOSHA,223.606797749979,accipiter gentilis,,,5108,Accipiter gentilis,Northern Goshawk
Marsh Harrier,http://app.bto.org/birdfacts/results/bob2600.htm,Circus aeruginosus,"Migrant/Resident Breeder, Passage Visitor",100-500 Pairs,MR,MARHA,223.606797749979,circus aeruginosus,,,5173,Circus aeruginosus,Western Marsh-Harrier
Hen Harrier,http://app.bto.org/birdfacts/results/bob2610.htm,Circus cyaneus,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,HH,HENHA,707.1067811865472,circus cyaneus,"A resident breeder, winter visitor and passage migrant",circus cyaneus,559064,Circus cyaneus,Hen Harrier
Northern Harrier,http://app.bto.org/birdfacts/results/bob2612.htm,Circus hudsonius,Accidental,1-10 Records,,,3.1622776601683795,circus hudsonius,,,558446,Circus hudsonius,Northern Harrier
Pallid Harrier,http://app.bto.org/birdfacts/results/bob2620.htm,Circus macrourus,Accidental,10 - 100 Records,HI,PALHA,31.622776601683803,circus macrourus,A rare vagrant,circus macrourus,5178,Circus macrourus,Pallid Harrier
Montagu’s Harrier,http://app.bto.org/birdfacts/results/bob2630.htm,Circus pygargus,"Migrant Breeder, Passage Visitor",10 - 100 Pairs,MO,MONHA,31.622776601683803,circus pygargus,,,5167,Circus pygargus,Montagu's Harrier
Red Kite,http://app.bto.org/birdfacts/results/bob2390.htm,Milvus milvus,"Resident/Introduced Breeder, Passage Visitor",1000 - 10000 Pairs,KT,REDKI,3162.277660168381,milvus milvus,A & C resident breeder and widespread introductions,milvus milvus,5267,Milvus milvus,Red Kite
Black Kite,http://app.bto.org/birdfacts/results/bob2380.htm,Milvus migrans,Scarce Visitor,10 - 100 Birds,KB,BLAKI,31.622776601683803,milvus migrans,A scarce migrant,milvus migrans,5268,Milvus migrans,Black Kite
White-tailed Eagle,http://app.bto.org/birdfacts/results/bob2430.htm,Haliaeetus albicilla,"Re-introduced Breeder, Accidental",10 - 100 Pairs,WE,WHTEA,31.622776601683803,haliaeetus albicilla,A & C resident breeder and widespread introductions,haliaeetus albicilla,5309,Haliaeetus albicilla,White-tailed Eagle
Rough-legged Buzzard,http://app.bto.org/birdfacts/results/bob2900.htm,Buteo lagopus,Passage/Winter Visitor,10 - 100 Birds,RF,ROLBU,31.622776601683803,buteo lagopus,A winter visitor,buteo lagopus,552430,Buteo lagopus lagopus,Rough-legged Buzzard
Buzzard,http://app.bto.org/birdfacts/results/bob2870.htm,Buteo buteo,"Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,BZ,BUZZA,31622.776601683774,buteo buteo,,,204472,Buteo buteo,Common Buzzard
Barn Owl,http://app.bto.org/birdfacts/results/bob7350.htm,Tyto alba,Resident Breeder,1000 - 10000 Pairs,BO,BAROW,3162.277660168381,tyto alba,A resident breeding species,tyto alba,20445,Tyto alba,Barn Owl
Scops Owl,http://app.bto.org/birdfacts/results/bob7390.htm,Otus scops,Accidental,10 - 100 Records,IQ,SCOOW,31.622776601683803,otus scops,A rare vagrant,otus scops,20244,Otus scops,Eurasian Scops Owl
Snowy Owl,http://app.bto.org/birdfacts/results/bob7490.htm,Bubo scandiacus,"Accidental, Former Breeder",100-500 Records,SO,SNOOW,223.606797749979,bubo scandiacus,"A rare vagrant, has bred Shetland Islands",bubo scandiacus,144594,Bubo scandiacus,Snowy Owl
Eurasian Eagle-Owl,http://app.bto.org/birdfacts/results/bob7440.htm,Bubo bubo,Escaped (?) Breeder, ,EO,EAGOW,,bubo bubo,,,20059,Bubo bubo,Eurasian Eagle-Owl
Tawny Owl,http://app.bto.org/birdfacts/results/bob7610.htm,Strix aluco,Resident Breeder,10000 - 100000 Pairs,TO,TAWOW,31622.776601683774,strix aluco,A resident breeding species,strix aluco,19898,Strix aluco,Tawny Owl
Hawk Owl,http://app.bto.org/birdfacts/results/bob7500.htm,Surnia ulula,Accidental,1-10 Records,,HAWOW,3.1622776601683795,surnia ulula,,,20372,Surnia ulula,Northern Hawk Owl
Little Owl,http://app.bto.org/birdfacts/results/bob7570.htm,Athene noctua,Introduced Breeder,1000 - 10000 Pairs,LO,LITOW,3162.277660168381,athene noctua,C resident introduced population,athene noctua,19998,Athene noctua,Little Owl
Tengmalm’s Owl,http://app.bto.org/birdfacts/results/bob7700.htm,Aegolius funereus,Accidental,1-10 Records,,TENOW,3.1622776601683795,aegolius funereus,,,20359,Aegolius funereus,Boreal Owl
Long-eared Owl,http://app.bto.org/birdfacts/results/bob7670.htm,Asio otus,"Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,LE,LOEOW,3162.277660168381,asio otus,A scarce resident breeding species,asio otus,20307,Asio otus,Long-eared Owl
Short-eared Owl,http://app.bto.org/birdfacts/results/bob7680.htm,Asio flammeus,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,SE,SHEOW,3162.277660168381,asio flammeus,A resident breeding species or winter visitor,asio flammeus,20315,Asio flammeus,Short-eared Owl
Hoopoe,http://app.bto.org/birdfacts/results/bob8460.htm,Upupa epops,"Scarce Visitor, Has Bred",100-500 Birds,HP,HOOPO,223.606797749979,upupa epops,"A scarce summer visitor, occasional breeder",upupa epops,20969,Upupa epops,Common Hoopoe
Roller,http://app.bto.org/birdfacts/results/bob8410.htm,Coracias garrulus,Accidental,100-500 Records,,ROLLE,223.606797749979,coracias garrulus,,,2266,Coracias garrulus,European Roller
Kingfisher,http://app.bto.org/birdfacts/results/bob8310.htm,Alcedo atthis,Migrant/Resident Breeder,1000 - 10000 Pairs,KF,KINGF,3162.277660168381,alcedo atthis,,,2599,Alcedo atthis,Common Kingfisher
Belted Kingfisher,http://app.bto.org/birdfacts/results/bob8340.htm,Megaceryle alcyon,Accidental,1-10 Records,,BELKI,3.1622776601683795,megaceryle alcyon,A rare vagrant,megaceryle alcyon,2548,Megaceryle alcyon,Belted Kingfisher
Blue-cheeked Bee-eater,http://app.bto.org/birdfacts/results/bob8390.htm,Merops persicus,Accidental,1-10 Records,,BLCBE,3.1622776601683795,merops persicus,A rare vagrant,merops persicus,2245,Merops persicus,Blue-cheeked Bee-eater
Bee-eater,http://app.bto.org/birdfacts/results/bob8400.htm,Merops apiaster,"Scarce Visitor, Has Bred",10 - 100 Birds,MZ,BEEEA,31.622776601683803,merops apiaster,,,2191,Merops apiaster,European Bee-eater
Wryneck,http://app.bto.org/birdfacts/results/bob8480.htm,Jynx torquilla,"Former Breeder, Scarce Visitor",100-500 Birds,WY,WRYNE,223.606797749979,jynx torquilla,,,18448,Jynx torquilla,Eurasian Wryneck
Yellow-bellied Sapsucker,http://app.bto.org/birdfacts/results/bob8720.htm,Sphyrapicus varius,Accidental,1-10 Records,,YEBSA,3.1622776601683795,sphyrapicus varius,A rare vagrant,sphyrapicus varius,18463,Sphyrapicus varius,Yellow-bellied Sapsucker
Lesser Spotted Woodpecker,http://app.bto.org/birdfacts/results/bob8870.htm,Dryobates minor,Resident Breeder,1000 - 10000 Pairs,LS,LESWO,3162.277660168381,dryobates minor,A resident breeding species,dryobates minor,792977,Dryobates minor,Lesser Spotted Woodpecker
Great Spotted Woodpecker,http://app.bto.org/birdfacts/results/bob8760.htm,Dendrocopos major,"Resident Breeder, Scarce Visitor",100000 - 500000 Pairs,GS,GRSWO,223606.7977499789,dendrocopos major,A resident breeding species,dendrocopos major,17871,Dendrocopos major,Great Spotted Woodpecker
Green Woodpecker,http://app.bto.org/birdfacts/results/bob8560.htm,Picus viridis,Resident Breeder,10000 - 100000 Pairs,G.,GREWO,31622.776601683774,picus viridis,,,144243,Picus viridis,Green Woodpecker
Lesser Kestrel,http://app.bto.org/birdfacts/results/bob3030.htm,Falco naumanni,Accidental,10 - 100 Records,,LESKE,31.622776601683803,falco naumanni,A rare vagrant,falco naumanni,59845,Falco naumanni,Lesser Kestrel
Kestrel,http://app.bto.org/birdfacts/results/bob3040.htm,Falco tinnunculus,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,K.,KESTR,31622.776601683774,falco tinnunculus,,,472766,Falco tinnunculus,Eurasian Kestrel
American Kestrel,http://app.bto.org/birdfacts/results/bob3050.htm,Falco sparverius,Accidental,1-10 Records,,AMEKE,3.1622776601683795,falco sparverius,A rare vagrant,falco sparverius,4665,Falco sparverius,American Kestrel
Red-footed Falcon,http://app.bto.org/birdfacts/results/bob3070.htm,Falco vespertinus,Scarce Visitor,10 - 100 Birds,FV,REFFA,31.622776601683803,falco vespertinus,A scarce migrant,falco vespertinus,4641,Falco vespertinus,Red-footed Falcon
Amur Falcon,http://app.bto.org/birdfacts/results/bob3080.htm,Falco amurensis,Accidental,1-10 Records,,,3.1622776601683795,falco amurensis,A rare vagrant,falco amurensis,4686,Falco amurensis,Amur Falcon
Eleonora’s Falcon,http://app.bto.org/birdfacts/results/bob3110.htm,Falco eleonorae,Accidental,1-10 Records,,ELEFA,3.1622776601683795,falco eleonorae,,,4671,Falco eleonorae,Eleonora's Falcon
Merlin,http://app.bto.org/birdfacts/results/bob3090.htm,Falco columbarius,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,ML,MERLI,3162.277660168381,falco columbarius,A resident breeding species,falco columbarius,4672,Falco columbarius,Merlin
Hobby,http://app.bto.org/birdfacts/results/bob3100.htm,Falco subbuteo,"Migrant Breeder, Passage Visitor",1000 - 10000 Pairs,HY,HOBBY,3162.277660168381,falco subbuteo,,,4643,Falco subbuteo,Eurasian Hobby
Gyrfalcon,http://app.bto.org/birdfacts/results/bob3180.htm,Falco rusticolus,Accidental,100-500 Records,YF,GYRFA,223.606797749979,falco rusticolus,,,4657,Falco rusticolus,Gyrfalcon
Peregrine,http://app.bto.org/birdfacts/results/bob3200.htm,Falco peregrinus,"Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,PE,PEREG,3162.277660168381,falco peregrinus,,,4647,Falco peregrinus,Peregrine Falcon
Ring-necked Parakeet,http://app.bto.org/birdfacts/results/bob7120.htm,Psittacula krameri,Introduced Breeder,1000 - 10000 Pairs,RI,RINPA,3162.277660168381,psittacula krameri,C resident introduced population,psittacula krameri,18911,Psittacula krameri,Rose-ringed Parakeet
Eastern Phoebe,http://app.bto.org/birdfacts/results/bob9090.htm,Sayornis phoebe,Accidental,1-10 Records,,,3.1622776601683795,sayornis phoebe,A rare vagrant,sayornis phoebe,17008,Sayornis phoebe,Eastern Phoebe
Acadian Flycatcher,http://app.bto.org/birdfacts/results/bob9140.htm,Empidonax virescens,Accidental,1-10 Records,,,3.1622776601683795,empidonax virescens,A rare vagrant,empidonax virescens,16638,Empidonax virescens,Acadian Flycatcher
Alder Flycatcher,http://app.bto.org/birdfacts/results/bob9230.htm,Empidonax alnorum,Accidental,1-10 Records,,,3.1622776601683795,empidonax alnorum,A rare vagrant,empidonax alnorum,16620,Empidonax alnorum,Alder Flycatcher
Eastern Kingbird,http://app.bto.org/birdfacts/results/bob9480.htm,Tyrannus tyrannus,Accidental,1-10 Records,,,3.1622776601683795,tyrannus tyrannus,A rare vagrant,tyrannus tyrannus,16782,Tyrannus tyrannus,Eastern Kingbird
Brown Shrike,http://app.bto.org/birdfacts/results/bob15130.htm,Lanius cristatus,Accidental,10 - 100 Records,,,31.622776601683803,lanius cristatus,A rare vagrant,lanius cristatus,12021,Lanius cristatus,Brown Shrike
Red-backed Shrike,http://app.bto.org/birdfacts/results/bob15150.htm,Lanius collurio,"Former Breeder, Scarce Visitor",100-500 Birds,ED,REBSH,223.606797749979,lanius collurio,"A scarce passage migrant, occasional breeder",lanius collurio,12038,Lanius collurio,Red-backed Shrike
Daurian Shrike,http://app.bto.org/birdfacts/results/bob15153.htm,Lanius isabellinus,Accidental,100-500 Records,IL,ISASH,223.606797749979,lanius isabellinus,,,12042,Lanius isabellinus,Isabelline Shrike
Turkestan Shrike,http://app.bto.org/birdfacts/results/bob15152.htm,Lanius phoenicuroides,Accidental,1-10 Records,,,3.1622776601683795,lanius phoenicuroides,,,339680,Lanius phoenicuroides,Red-tailed Shrike
Long-tailed Shrike,http://app.bto.org/birdfacts/results/bob15170.htm,Lanius schach,Accidental,1-10 Records,,,3.1622776601683795,lanius schach,A rare vagrant,lanius schach,12035,Lanius schach,Long-tailed Shrike
Lesser Grey Shrike,http://app.bto.org/birdfacts/results/bob15190.htm,Lanius minor,Accidental,100-500 Records,,LEGSH,223.606797749979,lanius minor,A rare vagrant,lanius minor,12054,Lanius minor,Lesser Grey Shrike
Great Grey Shrike,http://app.bto.org/birdfacts/results/bob15201.htm,Lanius excubitor,Passage/Winter Visitor,10 - 100 Birds,SR,GRGSH,31.622776601683803,lanius excubitor,A scarce winter visitor,lanius excubitor,559070,Lanius excubitor,Great Gray Shrike
Woodchat Shrike,http://app.bto.org/birdfacts/results/bob15230.htm,Lanius senator,Scarce Visitor,10 - 100 Birds,OO,WOOSH,31.622776601683803,lanius senator,A scarce migrant,lanius senator,12039,Lanius senator,Woodchat Shrike
Masked Shrike,http://app.bto.org/birdfacts/results/bob15240.htm,Lanius nubicus,Accidental,1-10 Records,,MASSH,3.1622776601683795,lanius nubicus,A rare vagrant,lanius nubicus,12023,Lanius nubicus,Masked Shrike
Yellow-throated Vireo,http://app.bto.org/birdfacts/results/bob16280.htm,Vireo flavifrons,Accidental,1-10 Records,,,3.1622776601683795,vireo flavifrons,A rare vagrant,vireo flavifrons,17365,Vireo flavifrons,Yellow-throated Vireo
Philadelphia Vireo,http://app.bto.org/birdfacts/results/bob16310.htm,Vireo philadelphicus,Accidental,1-10 Records,,PHIVI,3.1622776601683795,vireo philadelphicus,A rare vagrant,vireo philadelphicus,17364,Vireo philadelphicus,Philadelphia Vireo
Red-eyed Vireo,http://app.bto.org/birdfacts/results/bob16330.htm,Vireo olivaceus,Accidental,100-500 Records,EV,REEVI,223.606797749979,vireo olivaceus,A rare vagrant,vireo olivaceus,891704,Vireo olivaceus,Red-eyed Vireo
Golden Oriole,http://app.bto.org/birdfacts/results/bob15080.htm,Oriolus oriolus,"Scarce Breeder, Passage Visitor",1-10 Pairs,OL,GOLOR,3.1622776601683795,oriolus oriolus,,,204556,Oriolus oriolus,Eurasian Golden Oriole
Jay,http://app.bto.org/birdfacts/results/bob15390.htm,Garrulus glandarius,Resident Breeder,100000 - 500000 Territories,J.,JAY..,223606.7977499789,garrulus glandarius,,,8088,Garrulus glandarius,Eurasian Jay
Magpie,http://app.bto.org/birdfacts/results/bob15490.htm,Pica pica,Resident Breeder,500000 - 1E06 Territories,MG,MAGPI,707106.7811865465,pica pica,,,891696,Pica pica,Eurasian Magpie
Nutcracker,http://app.bto.org/birdfacts/results/bob15570.htm,Nucifraga caryocatactes,Accidental, ,NC,NUTCR,,nucifraga caryocatactes,,,204552,Nucifraga caryocatactes,Eurasian Nutcracker
Chough,http://app.bto.org/birdfacts/results/bob15590.htm,Pyrrhocorax pyrrhocorax,Resident Breeder,100-500 Pairs,CF,CHOUG,223.606797749979,pyrrhocorax pyrrhocorax,,,8349,Pyrrhocorax pyrrhocorax,Red-billed Chough
Jackdaw,http://app.bto.org/birdfacts/results/bob15600.htm,Coloeus monedula,"Resident Breeder, Winter Visitor",1.3E06 Pairs,JD,JACKD,1300000.0,coloeus monedula,A resident breeding species,coloeus monedula,8000,Corvus monedula,Eurasian Jackdaw
Rook,http://app.bto.org/birdfacts/results/bob15630.htm,Corvus frugilegus,"Resident Breeder, Winter Visitor",500000 - 1E06 Pairs,RO,ROOK.,707106.7811865465,corvus frugilegus,A resident breeding species,corvus frugilegus,8029,Corvus frugilegus,Rook
Carrion Crow,http://app.bto.org/birdfacts/results/bob15671.htm,Corvus corone,"Resident Breeder, Winter Visitor",1E06 Territories,C.,CARCR,1000000.0,corvus corone,A resident breeding species,corvus corone,204496,Corvus corone,Carrion Crow
Hooded Crow,http://app.bto.org/birdfacts/results/bob15673.htm,Corvus cornix,"Resident Breeder, Winter Visitor",100000 - 500000 Territories,HC,HOOCR,223606.7977499789,corvus cornix,A resident breeding species,corvus cornix,144757,Corvus cornix,Hooded Crow
Raven,http://app.bto.org/birdfacts/results/bob15720.htm,Corvus corax,Resident Breeder,1000 - 10000 Pairs,RN,RAVEN,3162.277660168381,corvus corax,,,8010,Corvus corax,Common Raven
Waxwing,http://app.bto.org/birdfacts/results/bob10480.htm,Bombycilla garrulus,Winter Visitor,10000 - 100000 Birds,WX,WAXWI,31622.776601683774,bombycilla garrulus,,,7429,Bombycilla garrulus,Bohemian Waxwing
Cedar Waxwing,http://app.bto.org/birdfacts/results/bob10460.htm,Bombycilla cedrorum,Accidental,1-10 Records,,,3.1622776601683795,bombycilla cedrorum,A rare vagrant,bombycilla cedrorum,7428,Bombycilla cedrorum,Cedar Waxwing
Coal Tit,http://app.bto.org/birdfacts/results/bob14610.htm,Periparus ater,Resident Breeder,500000 - 1E06 Territories,CT,COATI,707106.7811865465,periparus ater,A resident breeding species,periparus ater,144823,Periparus ater,Coal Tit
Crested Tit,http://app.bto.org/birdfacts/results/bob14540.htm,Lophophanes cristatus,Resident Breeder,1000 - 10000 Pairs,CI,CRETI,3162.277660168381,lophophanes cristatus,A resident breeding species,lophophanes cristatus,144830,Lophophanes cristatus,Crested Tit
Marsh Tit,http://app.bto.org/birdfacts/results/bob14400.htm,Poecile palustris,Resident Breeder,10000 - 100000 Territories,MT,MARTI,31622.776601683774,poecile palustris,A resident breeding species,poecile palustris,144809,Poecile palustris,Marsh Tit
Willow Tit,http://app.bto.org/birdfacts/results/bob14420.htm,Poecile montanus,Resident Breeder,1000 - 10000 Pairs,WT,WILTI,3162.277660168381,poecile montanus,A resident breeding species,poecile montana,144812,Poecile montanus,Willow Tit
Blue Tit,http://app.bto.org/birdfacts/results/bob14620.htm,Cyanistes caeruleus,"Resident Breeder, Winter Visitor",3.4E06 Territories,BT,BLUTI,3400000.0,cyanistes caeruleus,,,144849,Cyanistes caeruleus,Eurasian Blue Tit
Great Tit,http://app.bto.org/birdfacts/results/bob14640.htm,Parus major,"Resident Breeder, Winter Visitor",2.5E06 Territories,GT,GRETI,2500000.0,parus major,A resident breeding species,parus major,203153,Parus major,Great Tit
Penduline Tit,http://app.bto.org/birdfacts/results/bob14900.htm,Remiz pendulinus,Scarce Visitor,10 - 100 Birds,DT,PENTI,31.622776601683803,remiz pendulinus,A rare vagrant,remiz pendulinus,13676,Remiz pendulinus,Eurasian Penduline-Tit
Bearded Tit,http://app.bto.org/birdfacts/results/bob13640.htm,Panurus biarmicus,"Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,BR,BEATI,707.1067811865472,panurus biarmicus,A resident breeding species,panurus biarmicus,117000,Panurus biarmicus,Bearded Reedling
Woodlark,http://app.bto.org/birdfacts/results/bob9740.htm,Lullula arborea,"Resident/Migrant Breeder, Passage Visitor",1000 - 10000 Pairs,WL,WOODL,3162.277660168381,lullula arborea,A scarce resident breeding species and summer migrant,lullula arborea,7363,Lullula arborea,Woodlark
White-winged Lark,http://app.bto.org/birdfacts/results/bob9650.htm,Alauda leucoptera,Accidental,1-10 Records,,WHWLA,3.1622776601683795,alauda leucoptera,A rare vagrant,alauda leucoptera,558524,Alauda leucoptera,White-winged Lark
Skylark,http://app.bto.org/birdfacts/results/bob9760.htm,Alauda arvensis,"Resident Breeder, Passage/Winter Visitor",1.4E06 Territories,S.,SKYLA,1400000.0,alauda arvensis,,,7347,Alauda arvensis,Eurasian Skylark
Crested Lark,http://app.bto.org/birdfacts/results/bob9720.htm,Galerida cristata,Accidental,10 - 100 Records,,CRELA,31.622776601683803,galerida cristata,A rare vagrant,galerida cristata,578607,Galerida cristata,Crested Lark
Shore Lark,http://app.bto.org/birdfacts/results/bob9780.htm,Eremophila alpestris,"Scarce Breeder, Winter Visitor",10 - 100 Birds,SX,SHOLA,31.622776601683803,eremophila alpestris,"A scarce winter visitor and passage migrant, occasional breeder",eremophila alpestris,525480,Eremophila alpestris flava,Shore Lark
Short-toed Lark,http://app.bto.org/birdfacts/results/bob9680.htm,Calandrella brachydactyla,Scarce Visitor,10 - 100 Birds,VL,SHTLA,31.622776601683803,calandrella brachydactyla,,,578093,Calandrella brachydactyla,Greater Short-toed Lark
Bimaculated Lark,http://app.bto.org/birdfacts/results/bob9620.htm,Melanocorypha bimaculata,Accidental,1-10 Records,,BIMLA,3.1622776601683795,melanocorypha bimaculata,A rare vagrant,melanocorypha bimaculata,7366,Melanocorypha bimaculata,Bimaculated Lark
Calandra Lark,http://app.bto.org/birdfacts/results/bob9610.htm,Melanocorypha calandra,Accidental,10 - 100 Records,,CALLA,31.622776601683803,melanocorypha calandra,A rare vagrant,melanocorypha calandra,7367,Melanocorypha calandra,Calandra Lark
Black Lark,http://app.bto.org/birdfacts/results/bob9660.htm,Melanocorypha yeltoniensis,Accidental,1-10 Records,,,3.1622776601683795,melanocorypha yeltoniensis,A rare vagrant,melanocorypha yeltoniensis,7370,Melanocorypha yeltoniensis,Black Lark
Lesser Short-toed Lark,http://app.bto.org/birdfacts/results/bob9700.htm,Alaudala rufescens,Accidental,1-10 Records,,LSTLA,3.1622776601683795,alaudala rufescens,A rare vagrant,alaudala rufescens,546379,Alaudala rufescens,Lesser Short-toed Lark
Sand Martin,http://app.bto.org/birdfacts/results/bob9810.htm,Riparia riparia,"Migrant Breeder, Passage Visitor",100000 - 500000 Nests,SM,SANMA,223606.7977499789,riparia riparia,A breeding summer visitor,riparia riparia,11941,Riparia riparia,Bank Swallow
Tree Swallow,http://app.bto.org/birdfacts/results/bob9830.htm,Tachycineta bicolor,Accidental,1-10 Records,,,3.1622776601683795,tachycineta bicolor,A rare vagrant,tachycineta bicolor,11935,Tachycineta bicolor,Tree Swallow
Purple Martin,http://app.bto.org/birdfacts/results/bob9890.htm,Progne subis,Accidental,1-10 Records,,,3.1622776601683795,progne subis,A rare vagrant,progne subis,11867,Progne subis,Purple Martin
Swallow,http://app.bto.org/birdfacts/results/bob9920.htm,Hirundo rustica,"Migrant Breeder, Passage Visitor",500000 - 1E06 Territories,SL,SWALL,707106.7811865465,hirundo rustica,,,11901,Hirundo rustica,Barn Swallow
Crag Martin,http://app.bto.org/birdfacts/results/bob9910.htm,Ptyonoprogne rupestris,Accidental,10 - 100 Records,,CRAMA,31.622776601683803,ptyonoprogne rupestris,,,144788,Ptyonoprogne rupestris,Eurasian Crag Martin
House Martin,http://app.bto.org/birdfacts/results/bob10010.htm,Delichon urbicum,"Migrant Breeder, Passage Visitor",500000 - 1E06 Pairs,HM,HOUMA,707106.7811865465,delichon urbicum,,,64705,Delichon urbicum,Common House Martin
Red-rumped Swallow,http://app.bto.org/birdfacts/results/bob9950.htm,Cecropis daurica,Scarce Visitor,10 - 100 Birds,VR,RERSW,31.622776601683803,cecropis daurica,A scarce migrant,cecropis daurica,144792,Cecropis daurica,Red-rumped Swallow
American Cliff Swallow,http://app.bto.org/birdfacts/results/bob9980.htm,Petrochelidon pyrrhonota,Accidental,1-10 Records,,CLISW,3.1622776601683795,petrochelidon pyrrhonota,A rare vagrant,petrochelidon pyrrhonota,11858,Petrochelidon pyrrhonota,Cliff Swallow
Cetti’s Warbler,http://app.bto.org/birdfacts/results/bob12200.htm,Cettia cetti,"Resident Breeder, Passage Visitor",1000 - 10000 Males,CW,CETWA,3162.277660168381,cettia cetti,,,116858,Cettia cetti,Cetti's Warbler
Long-tailed Tit,http://app.bto.org/birdfacts/results/bob14370.htm,Aegithalos caudatus,Resident Breeder,100000 - 500000 Territories,LT,LOTTI,223606.7977499789,aegithalos caudatus,A resident breeding species,aegithalos caudatus,7278,Aegithalos caudatus,Long-tailed Tit
Wood Warbler,http://app.bto.org/birdfacts/results/bob13080.htm,Phylloscopus sibilatrix,"Migrant Breeder, Passage Visitor",1000 - 10000 Males,WO,WOOWA,3162.277660168381,phylloscopus sibilatrix,A breeding summer visitor,phylloscopus sibilatrix,117048,Phylloscopus sibilatrix,Wood Warbler
Western Bonelli’s Warbler,http://app.bto.org/birdfacts/results/bob13071.htm,Phylloscopus bonelli,Accidental,100-500 Records,IW,BONWA,223.606797749979,phylloscopus bonelli,,,117007,Phylloscopus bonelli,Western Bonelli's Warbler
Eastern Bonelli’s Warbler,http://app.bto.org/birdfacts/results/bob13072.htm,Phylloscopus orientalis,Accidental,1-10 Records,,EABWA,3.1622776601683795,phylloscopus orientalis,,,144923,Phylloscopus orientalis,Eastern Bonelli's Warbler
Hume’s Warbler,http://app.bto.org/birdfacts/results/bob13002.htm,Phylloscopus humei,Accidental,100-500 Records,,HULWA,223.606797749979,phylloscopus humei,,,117026,Phylloscopus humei,Hume's Warbler
Yellow-browed Warbler,http://app.bto.org/birdfacts/results/bob13000.htm,Phylloscopus inornatus,Passage/Winter Visitor,1000 - 10000 Birds,YB,YEBWA,3162.277660168381,phylloscopus inornatus,A scarce migrant,phylloscopus inornatus,117028,Phylloscopus inornatus,Yellow-browed Warbler
Pallas’s Warbler,http://app.bto.org/birdfacts/results/bob12980.htm,Phylloscopus proregulus,Scarce Visitor,10 - 100 Birds,PA,PALWA,31.622776601683803,phylloscopus proregulus,,,117041,Phylloscopus proregulus,Pallas's Leaf Warbler
Radde’s Warbler,http://app.bto.org/birdfacts/results/bob13010.htm,Phylloscopus schwarzi,Scarce Visitor,10 - 100 Birds,,RADWA,31.622776601683803,phylloscopus schwarzi,,,117047,Phylloscopus schwarzi,Radde's Warbler
Dusky Warbler,http://app.bto.org/birdfacts/results/bob13030.htm,Phylloscopus fuscatus,Scarce Visitor,10 - 100 Birds,UY,DUSWA,31.622776601683803,phylloscopus fuscatus,A scarce migrant,phylloscopus fuscatus,117022,Phylloscopus fuscatus,Dusky Warbler
Willow Warbler,http://app.bto.org/birdfacts/results/bob13120.htm,Phylloscopus trochilus,"Migrant Breeder, Passage Visitor",2.2E06 Territories,WW,WILWA,2200000.0,phylloscopus trochilus,A breeding summer visitor,phylloscopus trochilus,117055,Phylloscopus trochilus,Willow Warbler
Chiffchaff,http://app.bto.org/birdfacts/results/bob13110.htm,Phylloscopus collybita,"Migrant Breeder, Passage/Winter Visitor",1.1E06 Territories,CC,CHIFF,1100000.0,phylloscopus collybita,,,117016,Phylloscopus collybita,Common Chiffchaff
Iberian Chiffchaff,http://app.bto.org/birdfacts/results/bob13115.htm,Phylloscopus ibericus,"Accidental, Has Bred",10 - 100 Records,IR,IBECH,31.622776601683803,phylloscopus ibericus,A rare vagrant,phylloscopus ibericus,117027,Phylloscopus ibericus,Iberian Chiffchaff
Eastern Crowned Warbler,http://app.bto.org/birdfacts/results/bob12860.htm,Phylloscopus coronatus,Accidental,1-10 Records,,,3.1622776601683795,phylloscopus coronatus,A rare vagrant,phylloscopus coronatus,117017,Phylloscopus coronatus,Eastern Crowned Warbler
Green Warbler,http://app.bto.org/birdfacts/results/bob12910.htm,Phylloscopus nitidus,Accidental,1-10 Records,,GRNWA,3.1622776601683795,phylloscopus nitidus,A rare vagrant,phylloscopus nitidus,144925,Phylloscopus nitidus,Green Warbler
Two-barred Greenish Warbler,http://app.bto.org/birdfacts/results/bob12920.htm,Phylloscopus plumbeitarsus,Accidental,1-10 Records,,,3.1622776601683795,phylloscopus plumbeitarsus,,,367658,Phylloscopus plumbeitarsus,Two-barred Warbler
Greenish Warbler,http://app.bto.org/birdfacts/results/bob12930.htm,Phylloscopus trochiloides,Scarce Visitor,10 - 100 Birds,,GSHWA,31.622776601683803,phylloscopus trochiloides,A scarce migrant,phylloscopus trochiloides,117054,Phylloscopus trochiloides,Greenish Warbler
