run_id,instance_id,instance_type,logical_cpus,storage_target,storage_layout,ebs_throughput_mibps,operation,operation_label,variant,chart_series,phase,threads,effective_threads,sample_timestamp_utc,sample_index,elapsed_seconds,absolute_elapsed_seconds,cpu_total_percent,cpu_average_percent,host_cpu_percent,duckdb_thread_cpu_percent,raw_phase_name,phase_duration_seconds,status
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:04.539786+00:00,15,1.51,55.011,6365.08,49.73,49.727187,99.454375,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:04.640350+00:00,16,1.611,55.112,6370.14,49.77,49.766719,99.533438,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:04.740910+00:00,17,1.711,55.212,6344.96,49.57,49.57,99.14,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:04.841447+00:00,18,1.812,55.313,6380.06,49.84,49.844219,99.688438,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:04.942013+00:00,19,1.912,55.413,6375.1,49.81,49.805469,99.610938,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.042562+00:00,20,2.013,55.514,6380.06,49.84,49.844219,99.688438,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.143091+00:00,21,2.113,55.614,6380.06,49.84,49.844219,99.688438,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.243689+00:00,22,2.214,55.715,6385.04,49.88,49.883125,99.76625,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.344267+00:00,23,2.314,55.815,6380.06,49.84,49.844219,99.688438,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.444794+00:00,24,2.415,55.916,6380.06,49.84,49.844219,99.688438,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.545362+00:00,25,2.516,56.017,6365.03,49.73,49.726797,99.453594,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.645930+00:00,26,2.616,56.117,6380.06,49.84,49.844219,99.688438,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.746420+00:00,27,2.717,56.218,6370.05,49.77,49.766016,99.532031,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.846988+00:00,28,2.817,56.318,5102.17,39.86,39.860703,79.721406,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:05.947567+00:00,29,2.918,56.419,3448.45,26.94,26.941016,53.882031,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.048043+00:00,30,3.018,56.519,2725.93,21.3,21.296328,42.592656,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.148409+00:00,31,3.119,56.62,148.95,1.16,1.163672,2.327344,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.248696+00:00,32,3.219,56.72,99.69,0.78,0.778828,1.557656,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.349015+00:00,33,3.319,56.82,99.77,0.78,0.779453,1.558906,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.449320+00:00,34,3.42,56.921,189.41,1.48,1.479766,2.959531,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.549619+00:00,35,3.52,57.021,99.77,0.78,0.779453,1.558906,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.649929+00:00,36,3.62,57.121,109.66,0.86,0.856719,1.713437,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.750216+00:00,37,3.72,57.221,109.66,0.86,0.856719,1.713437,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.850498+00:00,38,3.821,57.322,99.77,0.78,0.779453,1.558906,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
2026-05-13T133349Z,i-056f3061f47031643,r8id.32xlarge,128,EBS,ebs,,parquet_to_duckdb,Parquet -> mydb.duckdb,baseline,Vanilla baseline,baseline,64,64,2026-05-13T13:37:06.950775+00:00,39,3.921,57.422,109.74,0.86,0.857344,1.714687,EBS: baseline threads=64 parquet_to_duckdb ctas,10.3,success
